K,N,Method,RMSE,Time,d
100,128,Crude MC,0.03255586642788621,0.00029429912567138674,32
100,128,Plain RQMC,0.019093132977377344,0.0030198049545288085,32
100,128,Pre-Int (z1),0.013538783208120955,0.03568353176116943,32
100,128,Pre-Int (AS),0.00011091912833825548,0.04960559844970703,32
100,256,Crude MC,0.0213415907731591,0.0005474328994750976,32
100,256,Plain RQMC,0.013472415411574892,0.004152884483337402,32
100,256,Pre-Int (z1),0.008249544959555093,0.0733183765411377,32
100,256,Pre-Int (AS),3.6419549242101484e-05,0.0816615343093872,32
100,512,Crude MC,0.018998566162990074,0.0011162328720092773,32
100,512,Plain RQMC,0.009042402382483185,0.0052509307861328125,32
100,512,Pre-Int (z1),0.005808425141549074,0.18218257904052734,32
100,512,Pre-Int (AS),2.38197205168902e-05,0.16158135414123534,32
100,1024,Crude MC,0.010827543444527955,0.0011583375930786133,32
100,1024,Plain RQMC,0.005887576628568558,0.004960184097290039,32
100,1024,Pre-Int (z1),0.003957651294326853,0.26533324718475343,32
100,1024,Pre-Int (AS),1.30312490148748e-05,0.2941111469268799,32
100,2048,Crude MC,0.00819442976229586,0.002872152328491211,32
100,2048,Plain RQMC,0.0050274760804631365,0.0085532808303833,32
100,2048,Pre-Int (z1),0.002609920738460934,0.47791902542114256,32
100,2048,Pre-Int (AS),5.036232606821546e-06,0.6057273578643799,32
100,4096,Crude MC,0.005048112753790472,0.006875314712524414,32
100,4096,Plain RQMC,0.0038296485438861633,0.014023804664611816,32
100,4096,Pre-Int (z1),0.001879515430015232,0.9273372173309327,32
100,4096,Pre-Int (AS),2.624627559035059e-06,1.069354567527771,32
100,8192,Crude MC,0.004045199660099935,0.02801741600036621,32
100,8192,Plain RQMC,0.002355255832365807,0.0491870641708374,32
100,8192,Pre-Int (z1),0.0013209606793460947,2.2593843221664427,32
100,8192,Pre-Int (AS),1.7018615216237619e-06,2.373398628234863,32
120,128,Crude MC,0.00997699868516444,0.00033566951751708987,32
120,128,MC + ODIS,0.0018361895847128897,0.00037358760833740236,32
120,128,Plain RQMC,0.007205576437138845,0.004220666885375976,32
120,128,RQMC + ODIS,0.0018859332297075397,0.0032289457321166993,32
120,128,Pre-Int (AS),1.5701260080719325e-05,0.04633231639862061,32
120,128,Pre-Int (AS) + ODIS,1.3127608853826232e-05,0.043645620346069336,32
120,256,Crude MC,0.007116163368267587,0.0005283212661743164,32
120,256,MC + ODIS,0.0012832371744554588,0.00046082973480224607,32
120,256,Plain RQMC,0.005196955052993708,0.003125638961791992,32
120,256,RQMC + ODIS,0.0011548682601614443,0.003246889114379883,32
120,256,Pre-Int (AS),6.1358342678659435e-06,0.0887021255493164,32
120,256,Pre-Int (AS) + ODIS,6.033144438028752e-06,0.09577162742614746,32
120,512,Crude MC,0.004312993628042816,0.0008187150955200195,32
120,512,MC + ODIS,0.0009142610829776099,0.0007109308242797852,32
120,512,Plain RQMC,0.003674978777661935,0.0039577198028564456,32
120,512,RQMC + ODIS,0.0009154838425233515,0.0040207719802856446,32
120,512,Pre-Int (AS),2.812224018452749e-06,0.18081774711608886,32
120,512,Pre-Int (AS) + ODIS,2.7866686157146384e-06,0.1941432523727417,32
120,1024,Crude MC,0.003194651689822533,0.0021332693099975586,32
120,1024,MC + ODIS,0.0006704663560097069,0.002102971076965332,32
120,1024,Plain RQMC,0.0025099004700942368,0.00617368221282959,32
120,1024,RQMC + ODIS,0.0005382539657522574,0.006866283416748047,32
120,1024,Pre-Int (AS),1.4779871726136757e-06,0.3469115400314331,32
120,1024,Pre-Int (AS) + ODIS,1.4784192958929403e-06,0.3285208177566528,32
120,2048,Crude MC,0.0027896571035365765,0.0033622694015502928,32
120,2048,MC + ODIS,0.00044680143128312833,0.004358267784118653,32
120,2048,Plain RQMC,0.002040879760617265,0.009561429023742676,32
120,2048,RQMC + ODIS,0.000376395895841471,0.009967412948608399,32
120,2048,Pre-Int (AS),7.258837048491019e-07,0.5886724948883056,32
120,2048,Pre-Int (AS) + ODIS,6.255822958451799e-07,0.5520434761047364,32
120,4096,Crude MC,0.0016218753402813583,0.006364202499389649,32
120,4096,MC + ODIS,0.0003154632818446043,0.007600955963134766,32
120,4096,Plain RQMC,0.0011688338387432452,0.01461409091949463,32
120,4096,RQMC + ODIS,0.0002921933012225672,0.016087617874145508,32
120,4096,Pre-Int (AS),3.4377454096775173e-07,1.0670566272735595,32
120,4096,Pre-Int (AS) + ODIS,2.837335156909187e-07,1.1208674097061158,32
120,8192,Crude MC,0.0012770702021467715,0.01650613784790039,32
120,8192,MC + ODIS,0.00026152738166006624,0.017615041732788085,32
120,8192,Plain RQMC,0.0009208308144831235,0.03048018932342529,32
120,8192,RQMC + ODIS,0.00022127328526455172,0.03115746021270752,32
120,8192,Pre-Int (AS),2.1817501106780395e-07,2.3316300916671753,32
120,8192,Pre-Int (AS) + ODIS,2.2626286471347147e-07,2.155010838508606,32
